DB.Class.Key,Symbol.x,Symbol.y
49391899,T,TBXT
49391900,Smarca4,SMARCA4
49391901,Zmynd11,ZMYND11
49391902,Uqcc6,UQCC6
49391903,Ptbp1,PTBP1
49391904,Brd1,BRD1
49391905,Brd2,BRD2
49391906,Brd8,BRD8
49391907,Kcnh6,KCNH6
49391908,Babam2,BABAM2
49391909,Brf1,BRF1
49391910,Brinp3,BRINP3
49391911,Brms1l,BRMS1L
49391912,Pou3f3,POU3F3
49391913,Pou3f2,POU3F2
49391914,Pou4f1,POU4F1
49391915,Pou4f3,POU4F3
49391916,Pou4f2,POU4F2
49391917,Tbc1d32,TBC1D32
49391918,Vwc2,VWC2
49391919,Vwc2l,VWC2L
49391920,Hgh1,HGH1
49391921,Mpc2,MPC2
49391922,Trp53,TP53
49391923,Brpf3,BRPF3
49391924,Mpped2,MPPED2
49391925,H2-Eb1,HLA-DRB3
49391926,Celf1,CELF1
49391927,Celf5,CELF5
49391928,Apmap,APMAP
49391929,Abcb11,ABCB11
49391930,Bsn,BSN
49391931,Sptb,SPTB
49391932,Slx4,SLX4
49391933,Btbd2,BTBD2
49391934,Btbd3,BTBD3
49391935,Btbd6,BTBD6
49391936,Klf9,KLF9
49391937,Btg1,BTG1
49391938,Btg2,BTG2
49391939,Dtnb,DTNB
49391940,Fbxw11,FBXW11
49391941,Sp5,SP5
49391942,Prkd2,PRKD2
49391943,Dctn1,DCTN1
49391944,Sec24d,SEC24D
49391945,Popdc1,POPDC1
49391946,B2m,B2M
49391947,Phlda3,PHLDA3
49391948,Rpf2,RPF2
49391949,Rpf1,RPF1
49391950,Hoxb9,HOXB9
49391951,Hoxc9,HOXC9
49391952,Tspo2,TSPO2
49391953,Tspo,TSPO
49391954,Bzw1,BZW1
49391956,Cfap298,CFAP298
49391957,Lrmda,LRMDA
49391958,Mcmbp,MCMBP
49391959,Ado,ADO
49391960,Cdc123,CDC123
49391961,Tmem258,TMEM258
49391962,Tmem9b,TMEM9B
49391963,Aamdc,AAMDC
49391964,Myrf,MYRF
49391965,Rassf8,RASSF8
49391966,Tigar,TIGAR
49391967,C9orf72,C9orf72
49391968,Uspl1,USPL1
49391969,Gm614,CXorf65
49391970,Nrde2,NRDE2
49391971,Eapp,EAPP
49391972,Dglucy,DGLUCY
49391973,Rsl24d1,RSL24D1
49391974,Pagr1a,PAGR1
49391975,Cfap161,CFAP161
49391976,Vps9d1,VPS9D1
49391977,Airim,AIRIM
49391978,1600014C10Rik,C19orf12
49391979,Swsap1,SWSAP1
49391980,C1galt1,C1GALT1
49391981,Serping1,SERPING1
49391982,Odr4,ODR4
49391983,Ildr2,ILDR2
49391984,Ciart,CIART
49391985,Caprin2,CAPRIN2
49391986,C1qtnf12,C1QTNF12
49391987,C1ql3,C1QL3
49391988,C1ql1,C1QL1
49391989,C1qtnf6,C1QTNF6
49391990,C1qtnf9,C1QTNF9B
49391991,Amacr,AMACR
49391992,C1qtnf4,C1QTNF4
49391993,Slc22a5,SLC22A5
49391994,Slc22a4,SLC22A4
49391995,Slc22a21,SLC22A5
49391996,Cfap206,CFAP206
49391997,Gid8,GID8
49391998,Mtcl2,MTCL2
49391999,Fitm2,FITM2
49392000,Ppdpf,PPDPF
49392001,Chmp4b,CHMP4BP1
49392002,Mrgbp,MRGBP
49392003,Prelid3b,PRELID3B
49392004,C2cd4d,C2CD4D
49392005,C2cd4b,C2CD4B
49392006,C2cd4a,C2CD4A
49392007,Gcnt4,GCNT4
49392008,Cnppd1,CNPPD1
49392009,Dcaf17,DCAF17
49392010,Pcare,PCARE
49392011,C3,C3
49392012,E130311K13Rik,C3orf33
49392013,Hhatl,HHATL
49392014,Dipk2a,DIPK2A
49392015,Eogt,EOGT
49392016,2510009E07Rik,C3orf70
49392017,C4b,C4B
49392018,Trappc11,TRAPPC11
49392019,Nop14,NOP14
49392020,Chst11,CHST11
49392021,Chst12,CHST12
49392022,Mtrfr,MTRFR
49392023,C6,C6
49392024,Abracl,ABRACL
49392025,Nkapl,NKAPL
49392026,Nkap,NKAP
49392027,Vta1,VTA1
49392028,Sft2d1,SFT2D1
49392029,Ltv1,LTV1
49392030,C7,C7
49392031,1700066M21Rik,C2orf69
49392032,Rpp25l,RPP25L
49392033,Ptprz1,PTPRZ1
49392034,Car2,CA2
49392035,Car13,CA13
49392036,Car1,CA1
49392037,Car3,CA3
49392038,Car4,CA4
49392039,Car5b,CA5B
49392040,Car5a,CA5A
49392041,Cacnb2,CACNB2
49392042,Cacnb3,CACNB3
49392043,Cacnb4,CACNB4
49392044,Cabp1,CABP1
49392045,Cabp4,CABP4
49392046,Cabp7,CABP7
49392047,Caln1,CALN1
49392048,Cacna1a,CACNA1A
49392049,Cacna1b,CACNA1B
49392050,Cacna1d,CACNA1D
49392051,Cacna1f,CACNA1F
49392052,Cacna1i,CACNA1I
49392053,Cacna1s,CACNA1S
