Metabolite_set,Metabolite
A11H OTHER PLAIN VITAMIN PREPARATIONS,Riboflavin
A11H OTHER PLAIN VITAMIN PREPARATIONS,NAD
A11H OTHER PLAIN VITAMIN PREPARATIONS,myo-Inositol
A11HA Other plain vitamin preparations,Niacinamide
A11HA Other plain vitamin preparations,Riboflavin
A11HA Other plain vitamin preparations,NAD
A11HA Other plain vitamin preparations,myo-Inositol
A11HA01 Nicotinamide,Niacinamide
A11HA01 Nicotinamide,NAD
D00036  Niacinamide (USP) &lt;JP&gt;,Niacinamide
Therapeutic category of drugs in Japan [BR:br08301(D00036)],Niacinamide
3  Agents affecting metabolism,Niacinamide
3  Agents affecting metabolism,Taurine
3  Agents affecting metabolism,Glucose
3  Agents affecting metabolism,Carglumic acid
3  Agents affecting metabolism,Acetylcysteine
3  Agents affecting metabolism,Betaine
3  Agents affecting metabolism,Glutathione
3  Agents affecting metabolism,Penicillamine
31  Vitamins,Niacinamide
313  Vitamin B preparations,Niacinamide
3132  Nicotinic acids,Niacinamide
D00036  Niacinamide (USP); Nicotinamide (JP18/INN),Niacinamide
Classification of Japanese OTC drugs [BR:br08313(D00036)],Niacinamide
Agents for otolaryngologic use,Niacinamide
72 Other agents for otolaryngologic use,Niacinamide
D00036  Niacinamide (USP),Niacinamide
D00036  Niacinamide (USP),Niacinamide
Risk category of Japanese OTC drugs [BR:br08312(D00036)],Niacinamide
Nicotinamide,Niacinamide
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00036)],Niacinamide
D00036  Nicotinamide,Niacinamide
L-Arginine,Arginine
C02385  Amino acid(Arg-),Arginine
Organic acids,Malic acid
Organic acids,Citric acid
Organic acids,Succinic acid
Organic acids,Oxoglutaric acid
Organic acids,Caprylic acid
Organic acids,Oxalic acid
Organic acids,4-Hydroxybutyric acid
Organic acids,Acetoacetic acid
Organic acids,cis-Aconitic acid
Organic acids,Pyruvic acid
Organic acids,trans-Aconitic acid
Organic acids,Butyric acid
Organic acids,Pimelic acid
Carboxylic acids,Malic acid
Carboxylic acids,Citric acid
Carboxylic acids,Succinic acid
Carboxylic acids,Oxoglutaric acid
Carboxylic acids,Caprylic acid
Carboxylic acids,Oxalic acid
Carboxylic acids,4-Hydroxybutyric acid
Carboxylic acids,Acetoacetic acid
Carboxylic acids,cis-Aconitic acid
Carboxylic acids,Pyruvic acid
Carboxylic acids,trans-Aconitic acid
Carboxylic acids,Butyric acid
Carboxylic acids,Pimelic acid
Hydroxycarboxylic acids,Malic acid
Hydroxycarboxylic acids,4-Hydroxybutyric acid
C00149  Malate; (S)-2-Hydroxybutanediate,Malic acid
Therapeutic category of drugs in Japan [BR:br08301(D00047)],Taurine
1  Agents affecting nervous system and sensory organs,Taurine
1  Agents affecting nervous system and sensory organs,Oxidized glutathione
1  Agents affecting nervous system and sensory organs,Citicoline
1  Agents affecting nervous system and sensory organs,N-Acetylneuraminic acid
1  Agents affecting nervous system and sensory organs,Dopa
11  Agents affecting central nervous system,Taurine
11  Agents affecting central nervous system,Citicoline
11  Agents affecting central nervous system,Dopa
119  Miscellaneous,Taurine
119  Miscellaneous,Citicoline
1190  Miscellaneous,Taurine
1190  Miscellaneous,Citicoline
D00047  Taurine (JP18/USP/INN); Aminoethylsulfonic acid (JAN),Taurine
D00047  Taurine (JP18/USP/INN); Aminoethylsulfonic acid (JAN),Taurine
D00047  Taurine (JP18/USP/INN); Aminoethylsulfonic acid (JAN),Taurine
2  Agents affecting individual organs,Taurine
2  Agents affecting individual organs,Glycerol
2  Agents affecting individual organs,Citicoline
2  Agents affecting individual organs,Acetylcysteine
2  Agents affecting individual organs,gamma-Aminobutyric acid
2  Agents affecting individual organs,Mannitol
2  Agents affecting individual organs,Ursodeoxycholic acid
21  Cardiovascular agents,Taurine
21  Cardiovascular agents,gamma-Aminobutyric acid
21  Cardiovascular agents,Mannitol
211  Cardiotonics,Taurine
2119  Others,Taurine
39  Other agents affecting metabolism,Taurine
39  Other agents affecting metabolism,Carglumic acid
39  Other agents affecting metabolism,Acetylcysteine
39  Other agents affecting metabolism,Betaine
39  Other agents affecting metabolism,Glutathione
39  Other agents affecting metabolism,Penicillamine
391  Liver disease agents,Taurine
3919  Others,Taurine
Classification of Japanese OTC drugs [BR:br08313(D00047)],Taurine
Agents for ophthalmologic use,Taurine
Agents for ophthalmologic use,Allantoin
62 General eye drops,Taurine
62 General eye drops,Allantoin
D00047  Taurine (JP18/USP/INN),Taurine
D00047  Taurine (JP18/USP/INN),Taurine
Risk category of Japanese OTC drugs [BR:br08312(D00047)],Taurine
Aminoethylsulfonic acid; Taurine,Taurine
Animal drugs in Japan [BR:br08331],Taurine
Animal drugs in Japan [BR:br08331],Glucose
Animal drugs in Japan [BR:br08331],Glycerol
Animal drugs in Japan [BR:br08331],Glutathione
Animal drugs in Japan [BR:br08331],Ursodeoxycholic acid
96  Agents affecting metabolism,Taurine
96  Agents affecting metabolism,Glucose
96  Agents affecting metabolism,Glutathione
967  Agents for liver disease and antidotes,Taurine
967  Agents for liver disease and antidotes,Glutathione
9674  Taurine and preparations,Taurine
C00245  Aminoethylsulfonic acid,Taurine
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00047)],Taurine
D00047  Taurine,Taurine
Peptides,Citrulline
Peptides,Tyrosine
Peptides,Glutamic acid
Peptides,Tryptophan
Peptides,Cystine
Peptides,Serine
Peptides,Carnosine
Peptides,Carnosine
